rank_optimizado,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,score_optimizado,similitud_tfidf
1097,linkedin::4464982518,linkedin,Senior Python Engineer – Generative AI,"Avenga Water Well Service, LLC",Machine Learning Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4464982518,0.06819837048216723,0.0127074097508578
1098,getonboard::product-lead-xim-remote,getonboard,Founding Lead,,Data Engineer,Remoto,Remoto,https://www.getonbrd.com/jobs/product-lead-xim-remote,0.06755568432881644,0.0125876579703667
1099,getonboard::wordpress-developer-ai-first-brand-bot-remote,getonboard,WordPress Developer (AI First),,Software Engineer,Remoto,Remoto,https://www.getonbrd.com/jobs/wordpress-developer-ai-first-brand-bot-remote,0.06745262480227436,0.0125684548776353
1100,linkedin::4452073101,linkedin,Senior AI Agent Engineer,Wizeline,Machine Learning Engineer,Argentina,,https://www.linkedin.com/jobs/view/4452073101,0.06733019188884322,0.0125456419396287
1101,linkedin::4458211871,linkedin,Analista Senior,PwC Acceleration Centers,Data Analyst,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4458211871,0.06731377306901862,0.0125425826191543
1102,getonboard::ejecutivo-de-prospeccion-geovictoria-santiago,getonboard,Ejecutivo de Prospección,,NLP Engineer,Chile,Híbrido,https://www.getonbrd.com/jobs/ejecutivo-de-prospeccion-geovictoria-santiago,0.06720731945332684,0.0125227471054244
1103,linkedin::4464081072,linkedin,"Senior Software Engineer (Python/Flask+React) - Remote, Latin America",Bluelight,Software Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4464081072,0.06700008885961138,0.0124841338064755
1104,linkedin::4464074082,linkedin,"Senior Software Engineer (Python/Flask+React) - Remote, Latin America",Bluelight,Python Developer,Salta y alrededores,,https://www.linkedin.com/jobs/view/4464074082,0.06700008885961138,0.0124841338064755
1105,getonboard::senior-ai-agentic-engineer-artefact-us-remote,getonboard,Senior AI & Agentic Engineer,,Data Scientist,Remoto,Remoto,https://www.getonbrd.com/jobs/senior-ai-agentic-engineer-artefact-us-remote,0.06694497134944713,0.012473863754843
1106,getonboard::senior-cloud-data-engineer-signant-health-remote,getonboard,Senior Cloud Data Engineer,,Data Analyst,Remoto,Remoto,https://www.getonbrd.com/jobs/senior-cloud-data-engineer-signant-health-remote,0.06682645935367265,0.0124517814018476
1107,linkedin::4462415391,linkedin,Sr. Software Engineer,Dialpad,Software Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4462415391,0.06681819708702187,0.0124502418928086
1108,linkedin::4464406598,linkedin,Desarrollador RPA JR,Agnostic | a cognitive AI company,Python Developer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4464406598,0.06659448591775638,0.0124085577664343
1109,opcionempleo::jobadarc5c5119b705feebfd2cc1326f593ae09,opcionempleo,Software Engineer III Full Stack (Buenos Aires),,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arc5c5119b705feebfd2cc1326f593ae09,0.06628463624305646,0.0123508234430224
1110,linkedin::4457988165,linkedin,Data Analyst,AppDirect,Data Analyst,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4457988165,0.06627396332712389,0.0123488347574419
1111,linkedin::4458303320,linkedin,Data Analyst,AppHelp by AppDirect,Data Analyst,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4458303320,0.06627396332712389,0.0123488347574419
1112,linkedin::4461903359,linkedin,Senior Applied AI Engineer,Network Solutions,NLP Engineer,Argentina,,https://www.linkedin.com/jobs/view/4461903359,0.06626579880994138,0.0123473134620719
1113,linkedin::4456896366,linkedin,Senior Software Engineer - Full-stack - Growth Product,Kraken,Desarrollador Full Stack,Argentina,,https://www.linkedin.com/jobs/view/4456896366,0.06610235559228454,0.0123168590696417
1114,linkedin::4463072481,linkedin,Senior Shopify Full-Stack Developer for an E-commerce Agency (US-Based/Remote),Paired,Desarrollador Full Stack,Argentina,,https://www.linkedin.com/jobs/view/4463072481,0.06577599213309503,0.0122560477309791
1115,linkedin::4378936628,linkedin,AI & Machine Learning Consultant,AlixPartners,Data Scientist,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4378936628,0.06540627438604012,0.0121871581831677
1116,linkedin::4458310010,linkedin,AI Engineer - Argentina,Globant,NLP Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4458310010,0.06524859839776179,0.0121577783992116
1117,opcionempleo::89805254,opcionempleo,"Machine Learning Architect - Not an Active Opening, Building Talent Pipeline (Argentina)",Caylent,Machine Learning Engineer,Argentina,,https://www.opcionempleo.com.ar/jobad/are05b89805254f4064176dd7597dc71dc,0.0651914205008532,0.0121471244354941
1118,linkedin::4336815907,linkedin,Software Engineer II (Argentina),Sezzle,Software Engineer,Argentina,,https://www.linkedin.com/jobs/view/4336815907,0.0649165394893909,0.0120959058268868
1119,linkedin::4462306186,linkedin,"Senior LLM Engineer – (Training, Evaluation, Production Deployment and Agentic Rag)",LineSlip Solutions,Machine Learning Engineer,Argentina,,https://www.linkedin.com/jobs/view/4462306186,0.06489669493678282,0.0120922081892522
1120,opcionempleo::jobadared0f292c5a8ac9a9ad8d1bbcd3a2866a,opcionempleo,Data Scientist,Id90 Travel,Data Scientist,Córdoba,,https://www.opcionempleo.com.ar/jobad/ared0f292c5a8ac9a9ad8d1bbcd3a2866a,0.06467734196913787,0.0120513361270574
1121,linkedin::4453483103,linkedin,TTT - Data Engineer - EY Global Delivery Services,EY,Data Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4453483103,0.06434023947842171,0.0119885237834885
1122,getonboard::senior-business-analyst-decision-point-latam-ciudad-de-mexico-santiago-069a,getonboard,Senior Business Analyst,,Data Analyst,"Mexico, Chile",Híbrido,https://www.getonbrd.com/jobs/senior-business-analyst-decision-point-latam-ciudad-de-mexico-santiago-069a,0.06415139782618888,0.0119533368979957
1123,opcionempleo::jobadar88eb4bd44abbfa2653a54ef792b65f1c,opcionempleo,AI & Machine Learning Engineer (AWS Cloud),Netrix Global,Machine Learning Engineer,Argentina,,https://www.opcionempleo.com.ar/jobad/ar88eb4bd44abbfa2653a54ef792b65f1c,0.06393836749645142,0.0119136429336063
1124,getonboard::funcional-analyst-e-commerce-ingles-smith-remote,getonboard,Funcional Analyst E-commerce (Inglés),,Data Analyst,Remoto,Remoto,https://www.getonbrd.com/jobs/funcional-analyst-e-commerce-ingles-smith-remote,0.06391668057570798,0.0119096020073177
1125,linkedin::4446841686,linkedin,Sr. Full-Stack Developer,Monks,Software Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4446841686,0.0638348575613811,0.0118943559162051
1126,linkedin::4462156710,linkedin,"Data Scientist, Applied AI - Remote",Azumo,Data Scientist,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4462156710,0.06355645663696516,0.0118424814418363
1127,getonboard::performance-marketing-manager-my-legal-academy-remote,getonboard,Performance Marketing Manager,,Data Analyst,Remoto,Remoto,https://www.getonbrd.com/jobs/performance-marketing-manager-my-legal-academy-remote,0.06354069645729155,0.0118395448458525
1128,getonboard::senior-technical-support-specialist-worksuite-inc-remote,getonboard,Senior Technical Support Specialist,,Backend,Remoto,Remoto,https://www.getonbrd.com/jobs/senior-technical-support-specialist-worksuite-inc-remote,0.06275392248805221,0.0116929451670369
1129,linkedin::4450883036,linkedin,Senior AI Engineer,Yuno,Machine Learning Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4450883036,0.06270666601493649,0.0116841398632882
1130,linkedin::4462154761,linkedin,AI Software Engineer - Remote,Azumo,Machine Learning Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4462154761,0.062363520416054447,0.0116202015067209
1131,bumeran::1118368050,bumeran,Desarrolladores JAVA para empresa líder en el desarrollo de soluciones para la industria de Oil&Gas,BT Consultores - Buscadores de Talentos,Software Engineer,CABA,Remoto,https://www.bumeran.com.ar/empleos/desarrolladores-java-para-empresa-lider-en-el-desarrollo-de-soluciones-para-la-industria-de-oilgas-bt-consultores-buscadores-de-talentos-1118368050.html,0.06217364382558987,0.0115848217810754
1132,linkedin::4449919907,linkedin,Fraud Prevention Analyst II,dLocal,Data Scientist,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4449919907,0.06199417007772355,0.0115513804182168
1133,getonboard::technical-lead-head-of-technology-niuro-remote,getonboard,Technical Lead / Head of Technology,,Software Engineer,Remoto,Remoto,https://www.getonbrd.com/jobs/technical-lead-head-of-technology-niuro-remote,0.06101687104786863,0.0113692801842423
1134,linkedin::4453484662,linkedin,Data Scientist - Tech Lead,Promtior,Data Scientist,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4453484662,0.060285718220344606,0.0112330443987806
1135,linkedin::4461974662,linkedin,Senior AI Engineer,EPAM Systems,Machine Learning Engineer,Argentina,,https://www.linkedin.com/jobs/view/4461974662,0.059641245132938336,0.0111129596586736
1136,linkedin::4450382325,linkedin,Senior Backend Engineer (Java),AppHelp by AppDirect,Desarrollador Backend,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4450382325,0.05951314648830727,0.0110890910243595
1137,linkedin::4454656179,linkedin,Senior Data Scientist,Kake,Data Scientist,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4454656179,0.05946834760863005,0.0110807436442621
1138,linkedin::4463208065,linkedin,Senior Clinical Data Engineer (LATAM),Precision Medicine Group,Data Engineer,Argentina,,https://www.linkedin.com/jobs/view/4463208065,0.059401552999264036,0.0110682977974719
1139,linkedin::4463207099,linkedin,Senior Clinical Data Engineer (LATAM),Precision For Medicine,Data Engineer,Argentina,,https://www.linkedin.com/jobs/view/4463207099,0.059401552999264036,0.0110682977974719
1140,opcionempleo::600762,opcionempleo,Senior Data Platform Engineer (Buenos Aires),Modo,Data Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar600762aa4ad698d738ecca73ec7b8afe,0.05935113434505746,0.0110589032841784
1141,opcionempleo::jobadarc042a6805b6e3f72cffaaf75f5fdd533,opcionempleo,Desarrolladores Python - SSr Remoto Arg (Balvanera),Manpower,Python Developer,"Balvanera, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arc042a6805b6e3f72cffaaf75f5fdd533,0.05915636217264789,0.0110226113642194
1142,getonboard::editor-of-customer-experience-product-narrative-strategy-force-of-nature-remote,getonboard,AI Product Experience Designer,,Data Engineer,Remoto,Remoto,https://www.getonbrd.com/jobs/editor-of-customer-experience-product-narrative-strategy-force-of-nature-remote,0.05904428156830924,0.0110017273730861
1143,linkedin::4458435092,linkedin,Digital Operations Analyst,Mosaic Puzzles,Data Analyst,Argentina,,https://www.linkedin.com/jobs/view/4458435092,0.0587124085024956,0.0109398894288251
1144,linkedin::4212809043,linkedin,Sr Software Engineer Java - Finance,JPMorganChase,Software Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4212809043,0.05868960422859109,0.0109356403060011
1145,linkedin::4437078789,linkedin,Data Analyst (Finance),Revolut,Data Analyst,Argentina,,https://www.linkedin.com/jobs/view/4437078789,0.05862668053540431,0.0109239157274414
1146,linkedin::4445169121,linkedin,Software Engineer,Epsilon,Python Developer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4445169121,0.0583255520661951,0.0108678064271922
1147,linkedin::4458042051,linkedin,Senior Data Engineer (AI/LLM Trainer) - Remote - Argentina,Kake,Machine Learning Engineer,Argentina,,https://www.linkedin.com/jobs/view/4458042051,0.0582585051995452,0.010855313577275
1148,linkedin::4457545292,linkedin,Data Architect (Databricks),Allata,Data Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4457545292,0.058079623450285375,0.0108219825215808
1149,linkedin::4464373010,linkedin,Cloud AI Engineer,Netrix Global,NLP Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4464373010,0.058034205463144965,0.0108135197831228
1150,linkedin::4462433056,linkedin,Java Software Engineer,ELEKS,Software Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4462433056,0.05798746402261806,0.0108048104454521
1151,linkedin::4447366467,linkedin,"Junior Software Engineer with Accounting Experience (Argentina) Argentina, Remote",Sezzle LA,Software Engineer,Argentina,,https://www.linkedin.com/jobs/view/4447366467,0.05790866802819073,0.0107901283792849
1152,linkedin::4457385277,linkedin,Full Stack Developer,CRAFTLabs,Desarrollador Full Stack,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4457385277,0.05770220411434083,0.0107516579358783
1153,getonboard::full-stack-web-developer-kutoku-ltd-remote,getonboard,Full-Stack Web Developer,,Data Analyst,Remoto,Remoto,https://www.getonbrd.com/jobs/full-stack-web-developer-kutoku-ltd-remote,0.05768368181077175,0.0107482066730502
1154,linkedin::4455435391,linkedin,AI ML Senior Engineer,Yochana,Machine Learning Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4455435391,0.057341928744032836,0.0106845277871478
1155,linkedin::4457463684,linkedin,Staff Data Platform Engineer,Medallia,Ingeniero de Datos,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4457463684,0.05610385762175252,0.0104538378609767
1156,linkedin::4454767779,linkedin,Member of Technical Staff — Software Engineer (Backend),DevRev,Python Developer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4454767779,0.05604813912673304,0.0104434558277711
1157,opcionempleo::12722,opcionempleo,AI Software Engineer - Remote (Buenos Aires),Azumo,NLP Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arfd8ead173ba180e56d9a12722d13d6ec,0.055807095898091665,0.010398542216898
1158,linkedin::4460743135,linkedin,Senior Java Software Engineer,Symphonica OSS,Desarrollador Backend,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4460743135,0.05579551686499622,0.0103963846944085
1159,getonboard::senior-devops-engineer-31c-remote,getonboard,Senior Linux & Network Platform Engineer,,Data Analyst,Remoto,Remoto,https://www.getonbrd.com/jobs/senior-devops-engineer-31c-remote,0.05560026102802771,0.0103600026531799
1160,linkedin::4462717553,linkedin,Senior Full-Stack Software Engineer — Python / React / GCP / AI,Ignyte Assurance Platform™,Python Developer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4462717553,0.055535043389061935,0.010347850643455
1161,linkedin::4212805345,linkedin,Software Engineering - Sr Python Developer,JPMorganChase,Python Developer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4212805345,0.055122734906833004,0.0102710251593504
1162,linkedin::4450804275,linkedin,"Senior Full Stack Developer (Ruby on Rails, React)",Miratech,Desarrollador Full Stack,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4450804275,0.055041504962692514,0.0102558895750698
1163,opcionempleo::09551,opcionempleo,Senior AI Engineer (Argentina),Yuno,NLP Engineer,Argentina,,https://www.opcionempleo.com.ar/jobad/ar0848e2a09551d2648b131570d4c674db,0.05499450677278269,0.0102471323972588
1164,linkedin::4398528840,linkedin,Software Engineers (Backend .NET/C#),Betsson Group,Software Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4398528840,0.05490743101489834,0.0102309075618708
1165,linkedin::4441255726,linkedin,Senior Data Engineer,Blend,Data Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4441255726,0.05480473693130888,0.0102117725621643
1166,linkedin::4441127285,linkedin,"Senior, Java Software Engineer",The Walt Disney Company,Software Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4441127285,0.05438508654955156,0.0101335790611262
1167,linkedin::4450400380,linkedin,Senior Data Analyst,brightwheel,Data Analyst,Argentina,,https://www.linkedin.com/jobs/view/4450400380,0.05406956023671016,0.0100747870091152
1168,linkedin::4455388708,linkedin,Senior Data Analyst,DEPT®,Data Analyst,Argentina,,https://www.linkedin.com/jobs/view/4455388708,0.05405611244590096,0.0100722812807987
1169,opcionempleo::jobadar0e1ff00f2509ac9137fb4349bbce9d90,opcionempleo,Full Stack Developer Ssr Buenos Aires,Taynes,Desarrollador Full Stack,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar0e1ff00f2509ac9137fb4349bbce9d90,0.05390569961016889,0.0100442548408424
1170,getonboard::senior-data-scientist-us-office-artefact-latam-remote,getonboard,Senior AI Data Scientist (US Team),,Data Scientist,Remoto,Remoto,https://www.getonbrd.com/jobs/senior-data-scientist-us-office-artefact-latam-remote,0.0536003560808489,0.0099873601479867
1171,linkedin::4462842833,linkedin,Senior Artificial Intelligence/Machine Learning Engineer,Ciklum,NLP Engineer,Argentina,,https://www.linkedin.com/jobs/view/4462842833,0.053497953386439784,0.0099682794428577
1172,linkedin::4450840542,linkedin,Senior Data Scientist,SecurityScorecard,Data Scientist,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4450840542,0.05329600709112637,0.0099306507678018
1173,linkedin::4455435725,linkedin,Corporate BI operation Staff IT Engineer,Lenovo,Data Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4455435725,0.0528567616844393,0.0098488061236484
1174,linkedin::4437077181,linkedin,Senior Software Engineer - Fountain One,Fountain,Software Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4437077181,0.05285015589865618,0.0098475752668687
1175,getonboard::qa-lead-e-commerce-ingles-smith-remote,getonboard,QA Lead E-commerce (Inglés),,Software Engineer,Remoto,Remoto,https://www.getonbrd.com/jobs/qa-lead-e-commerce-ingles-smith-remote,0.052730576358488455,0.009825293998211
1176,getonboard::ux-product-lead-niuro-remote,getonboard,UX Product Lead,,Data Engineer,Remoto,Remoto,https://www.getonbrd.com/jobs/ux-product-lead-niuro-remote,0.05251443926136058,0.0097850211495176
1177,linkedin::4458051051,linkedin,Senior Fullstack Engineer (Next.js/AI Agents),Kake,Desarrollador Full Stack,Argentina,,https://www.linkedin.com/jobs/view/4458051051,0.05239688500136978,0.0097631172515344
1178,opcionempleo::53296283,opcionempleo,"Remote Social Media Analyst – Junior, Data-Driven (Argentina)",Evox,Data Analyst,Argentina,,https://www.opcionempleo.com.ar/jobad/ar38ab8a3a4e9904c53296283e96dc9a49,0.05230369018496919,0.009745752251311
1179,getonboard::digital-marketing-specialist-organic-web-niuro-remote,getonboard,Digital Marketing Specialist (Organic & Web),,Data Engineer,Remoto,Remoto,https://www.getonbrd.com/jobs/digital-marketing-specialist-organic-web-niuro-remote,0.05204968183196996,0.0096984228474135
1180,linkedin::4441671732,linkedin,Lead Data Engineer,Blend,Data Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4441671732,0.05168167743029002,0.0096298525474312
1181,linkedin::4447513638,linkedin,1104 | Senior Data (Databricks) Engineer,Intetics,Ingeniero de Datos,Argentina,,https://www.linkedin.com/jobs/view/4447513638,0.05138267013777319,0.0095741384862646
1182,linkedin::4433131479,linkedin,AI Engineering Lead (LATAM),The Plumtree Group Global,Machine Learning Engineer,Argentina,,https://www.linkedin.com/jobs/view/4433131479,0.05137311529941711,0.0095723581321999
1183,opcionempleo::67864,opcionempleo,Senior Data Scientist — Mmm & Time‐Series (Remote),AgileEngine,Data Scientist,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar67864d4128cdc078731c48a636ebaf5c,0.051190293665776286,0.0095382929574227
1184,linkedin::4464939992,linkedin,Senior Python Engineer – Generative AI,Avenga,Machine Learning Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4464939992,0.05116944541976885,0.0095344083014884
1185,linkedin::4463303769,linkedin,Full Stack Software Engineer (Product Engineering Team),Félix,Desarrollador Full Stack,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4463303769,0.051097097490200284,0.009520927703944
1186,linkedin::4459105143,linkedin,Analytics Analyst,Homera Health,Data Analyst,Argentina,,https://www.linkedin.com/jobs/view/4459105143,0.05069308839567609,0.0094456486456484
1187,opcionempleo::57382,opcionempleo,Senior Artificial Intelligence/Machine Learning Engineer (Argentina),Ciklum,Machine Learning Engineer,Argentina,,https://www.opcionempleo.com.ar/jobad/ar8e57382ac8098cef0f689c4ae9d3dca8,0.05051744017521163,0.0094129200937245
1188,jobrapido::3698465640030404608,jobrapido,Principal Nlp Scientist (Chubut),Sourceability,NLP Engineer,Chubut,,https://ar.jobrapido.com/jobpreview/3698465640030404608?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F52643527%252Fprincipal-nlp-scientist-chubut&w=Python&p=4,0.050480430729404946,0.009406024119683
1189,jobrapido::3998711273092022272,jobrapido,Principal NLP Scientist (Trelew),Sourceability,NLP Engineer,Trelew,,https://ar.jobrapido.com/jobpreview/3998711273092022272?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F53381018%252Fprincipal-nlp-scientist-trelew&w=Python&p=4,0.050470789275692624,0.0094042276265696
1190,opcionempleo::941006,opcionempleo,"Staff Software Engineer, Credit Tech Lead & Architect",Ualá,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar04d17bfcbca0ec27d6bd941006db7e92,0.05046462492923296,0.0094030790232268
1191,opcionempleo::962074,opcionempleo,"Remote Social Media Analyst – Junior, Data-Driven (Rosario)",Evox,Data Analyst,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/ar9a10f962074da92fe8bb96391eed1027,0.05045062693747775,0.0094004707759085
1192,linkedin::4457399775,linkedin,Software Engineer (Data and AI),Sela,Machine Learning Engineer,Argentina,,https://www.linkedin.com/jobs/view/4457399775,0.05017806039596703,0.0093496834227377
1193,linkedin::4463614720,linkedin,Sr. Marketing Data Analytics,Jampp,Data Analyst,Argentina,,https://www.linkedin.com/jobs/view/4463614720,0.05016733212816354,0.0093476844234371
1194,jobrapido::5728093530002292736,jobrapido,Principal NLP Scientist (Comodoro Rivadavia),Sourceability,NLP Engineer,Comodoro Rivadavia,,https://ar.jobrapido.com/jobpreview/5728093530002292736?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F53381026%252Fprincipal-nlp-scientist-comodoro-rivadavia&w=Python&p=4,0.05016069945978883,0.0093464485576212
1195,jobrapido::3347237439495208960,jobrapido,Principal NLP Scientist (Puerto Madryn),Sourceability,NLP Engineer,Puerto Madryn,,https://ar.jobrapido.com/jobpreview/3347237439495208960?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F53381034%252Fprincipal-nlp-scientist-puerto-madryn&w=Python&p=4,0.050093743665855325,0.0093339726772931
1196,linkedin::4442569778,linkedin,Forward Deployed Engineer - Software Engineer - LATAM,ElevenLabs,NLP Engineer,Argentina,,https://www.linkedin.com/jobs/view/4442569778,0.04990786102212699,0.0092993371441751
1197,getonboard::data-engineer-gcp-dillo-tech-remote,getonboard,"Senior Data Engineer (Bigquery, Dbt, Python, Data Modeling)",,Data Analyst,Remoto,Remoto,https://www.getonbrd.com/jobs/data-engineer-gcp-dillo-tech-remote,0.04977819404378526,0.009275176282071
1198,linkedin::4453010398,linkedin,Software Engineer,Ryz Labs,Python Developer,Argentina,,https://www.linkedin.com/jobs/view/4453010398,0.049728972997763736,0.0092660049192402
1199,opcionempleo::5169353895,opcionempleo,Senior Machine Learning Engineer,Gofundme,Machine Learning Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar18f5169353895c9b5d73c831d5030212,0.04885524547015907,0.0091032031744862
1200,linkedin::4277713744,linkedin,Senior PHP Backend Engineer,Fever,Desarrollador Backend,Argentina,,https://www.linkedin.com/jobs/view/4277713744,0.04880629647824459,0.0090940825035266
1201,linkedin::4459854173,linkedin,Backend Software Engineer (Java),Revolut,Desarrollador Backend,Argentina,,https://www.linkedin.com/jobs/view/4459854173,0.04876577504435166,0.009086532140365
1202,linkedin::4459345909,linkedin,"Software Engineer, AI Developer Productivity (MTS)",Salesforce,Software Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4459345909,0.04870681582595666,0.0090755462628222
1203,linkedin::4446382682,linkedin,Senior Machine Learning Engineer,GoFundMe,Data Scientist,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4446382682,0.048656200731888304,0.009066115146868
1204,linkedin::4442907842,linkedin,Principal AI Research Scientist: Designing Multi-Scale Intelligence for the Energy Transition,Open Earth Foundation,Data Scientist,Argentina,,https://www.linkedin.com/jobs/view/4442907842,0.04859966440487284,0.0090555807269381
1205,opcionempleo::92168590,opcionempleo,"Desarrollador Web React Js Ui Dinámica, Apis Y Mysql Neuquén",Taraborelli,Desarrollador Backend,Neuquén,,https://www.opcionempleo.com.ar/jobad/ar4d5d0bce34d3cc811b92168590fc3b0d,0.04855505309573983,0.0090472682968805
1206,getonboard::platform-engineering-lead-niuro-remote,getonboard,Platform Engineering Lead,,Data Engineer,Remoto,Remoto,https://www.getonbrd.com/jobs/platform-engineering-lead-niuro-remote,0.04849206359524408,0.0090355314564378
1207,linkedin::4453661283,linkedin,"Senior Full Stack Software Engineer, Threat Intelligence Services",Proofpoint,Desarrollador Full Stack,"Córdoba, Córdoba, Argentina",,https://www.linkedin.com/jobs/view/4453661283,0.048388008465279714,0.009016142852813
1208,opcionempleo::jobadar9b617c1f0a726aaa3926c5e209c1881b,opcionempleo,Senior Data Scientist – Mmm Id71005,AgileEngine,Data Scientist,Córdoba,,https://www.opcionempleo.com.ar/jobad/ar9b617c1f0a726aaa3926c5e209c1881b,0.048287460936930676,0.0089974078209767
1209,opcionempleo::369167,opcionempleo,Remote Data Scientist — GenAI (Buenos Aires),Scale Up,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar369167e75f3abbabf5ac6e2cd5da9e62,0.048131477196231925,0.0089683433536952
1210,getonboard::principal-data-scientist-niuro-remote-83e7,getonboard,Principal Data Scientist,,Data Scientist,Remoto,Remoto,https://www.getonbrd.com/jobs/principal-data-scientist-niuro-remote-83e7,0.04791126925861007,0.0089273119848521
1211,linkedin::4284448329,linkedin,Senior Software Engineer - Java Backend,JPMorganChase,Software Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4284448329,0.04770101072065492,0.0088881344887254
1212,linkedin::4462442369,linkedin,Full Stack Engineer (Vue + Nest),Oowlish,Desarrollador Full Stack,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4462442369,0.0476311641432962,0.0088751199684089
1213,opcionempleo::72929,opcionempleo,Senior Data Scientist (Argentina),SecurityScorecard,Data Scientist,Argentina,,https://www.opcionempleo.com.ar/jobad/ard5e72929a3ba762207d7075b2a7b6a17,0.04737850756553574,0.0088280424409379
1214,linkedin::4454433654,linkedin,Software Engineer - Rust - Consumer,Kraken,Software Engineer,Argentina,,https://www.linkedin.com/jobs/view/4454433654,0.04735759585114354,0.0088241459589326
1215,linkedin::4457389322,linkedin,Data Engineer/Software Engineer,CRAFTLabs,Data Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4457389322,0.0470174819207576,0.0087607724934842
1216,opcionempleo::jobadar3221dc5a2eb52bc010c35fef58e95f81,opcionempleo,Senior Php Full-Stack Developer - Rest Apis & React,Werben HR,Desarrollador Full Stack,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar3221dc5a2eb52bc010c35fef58e95f81,0.046734729190140045,0.008708087146595
1217,opcionempleo::27231,opcionempleo,Senior Machine Learning Engineer (Argentina),Jampp,Machine Learning Engineer,Argentina,,https://www.opcionempleo.com.ar/jobad/ar9c27231b96e36b44523768a49e0fde34,0.04665504739387427,0.0086932400288754
1218,linkedin::4450710034,linkedin,"Principal AI-Native Engineer, Ionic Partners",Sparkrock,NLP Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4450710034,0.046584102382569034,0.0086800208372428
